from,to,distance
0,0,4
0,1,4
1,0,4
1,1,4
1,2,4
2,1,4
2,2,4
2,3,4
3,2,4
3,3,4
3,4,4
4,3,4
4,4,4
4,5,4
5,4,4
5,5,4
5,6,4
6,5,4
6,6,4
6,7,4
7,6,4
7,7,4
7,8,4
8,7,4
8,8,4
8,9,4
9,8,4
9,9,4
9,10,4
10,9,4
10,10,4
10,11,4
11,10,4
11,11,4
11,12,4
12,11,4
12,12,4
12,13,4
13,12,4
13,13,4
13,14,4
14,13,4
14,14,4
14,15,4
15,14,4
15,15,4
15,16,4
16,15,4
16,16,4
16,17,4
17,16,4
17,17,4
17,18,4
18,17,4
18,18,4
18,19,4
19,18,4
19,19,4
19,20,4
20,19,4
20,20,4
20,21,4
21,20,4
21,21,4
21,22,4
22,21,4
22,22,4
22,23,4
23,22,4
23,23,4
23,24,4
24,23,4
24,24,4
24,25,4
25,24,4
25,25,4
25,26,4
25,75,4
26,25,4
26,26,4
26,27,4
27,26,4
27,27,4
27,28,4
27,29,4
28,27,4
28,28,4
28,30,4
29,27,4
29,29,4
29,197,4
29,240,4
30,28,4
30,30,4
30,31,4
31,30,4
31,31,4
31,32,4
32,31,4
32,32,4
32,33,4
33,32,4
33,33,4
33,34,4
34,33,4
34,34,4
34,35,4
35,34,4
35,35,4
35,36,4
36,35,4
36,36,4
36,37,4
37,36,4
37,37,4
37,38,4
37,145,4
38,37,4
38,38,4
38,39,4
38,40,4
39,38,4
39,39,4
39,41,4
40,38,4
40,40,4
40,205,4
40,304,4
41,39,4
41,41,4
41,42,4
42,41,4
42,42,4
42,43,4
43,42,4
43,43,4
43,44,4
44,43,4
44,44,4
44,45,4
45,44,4
45,45,4
45,46,4
46,45,4
46,46,4
46,47,4
47,46,4
47,47,4
47,48,4
48,47,4
48,48,4
48,49,4
49,48,4
49,49,4
49,50,4
50,49,4
50,50,4
50,51,4
51,50,4
51,51,4
51,52,4
52,51,4
52,52,4
52,53,4
53,52,4
53,53,4
53,54,4
54,53,4
54,54,4
54,55,4
55,54,4
55,55,4
55,56,4
56,55,4
56,56,4
56,57,4
57,56,4
57,57,4
57,58,4
58,57,4
58,58,4
58,59,4
59,58,4
59,59,4
59,60,4
60,59,4
60,60,4
60,61,4
61,60,4
61,61,4
61,62,4
62,61,4
62,62,4
62,63,4
63,62,4
63,63,4
63,64,4
64,63,4
64,64,4
64,65,4
65,64,4
65,65,4
65,66,4
66,65,4
66,66,4
66,67,4
67,66,4
67,67,4
67,68,4
68,67,4
68,68,4
68,69,4
69,68,4
69,69,4
69,70,4
70,69,4
70,70,4
70,71,4
71,70,4
71,71,4
71,72,4
72,71,4
72,72,4
72,73,4
73,72,4
73,73,4
73,74,4
74,73,4
74,74,4
75,25,4
75,75,4
75,76,4
75,77,4
76,75,4
76,76,4
76,78,4
77,75,4
77,77,4
77,197,4
77,198,4
78,76,4
78,78,4
78,79,4
79,78,4
79,79,4
79,80,4
80,79,4
80,80,4
80,81,4
81,80,4
81,81,4
81,82,4
82,81,4
82,82,4
82,83,4
83,82,4
83,83,4
83,84,4
84,83,4
84,84,4
84,85,4
85,84,4
85,85,4
85,86,4
85,118,4
85,278,4
86,85,4
86,86,4
86,87,4
87,86,4
87,87,4
87,88,4
88,87,4
88,88,4
88,89,4
88,90,4
88,91,4
89,88,4
89,89,4
89,92,4
90,88,4
90,90,4
90,116,4
90,117,4
90,248,4
91,88,4
91,91,4
91,248,4
91,279,4
91,280,4
92,89,4
92,92,4
92,93,4
93,92,4
93,93,4
93,94,4
94,93,4
94,94,4
94,95,4
95,94,4
95,95,4
96,96,4
96,97,4
97,96,4
97,97,4
97,98,4
98,97,4
98,98,4
98,99,4
99,98,4
99,99,4
99,100,4
100,99,4
100,100,4
100,101,4
101,100,4
101,101,4
101,102,4
102,101,4
102,102,4
102,103,4
103,102,4
103,103,4
103,104,4
104,103,4
104,104,4
104,105,4
105,104,4
105,105,4
105,106,4
106,105,4
106,106,4
106,107,4
107,106,4
107,107,4
107,108,4
108,107,4
108,108,4
108,109,4
109,108,4
109,109,4
109,110,4
110,109,4
110,110,4
110,111,4
111,110,4
111,111,4
111,112,4
112,111,4
112,112,4
112,113,4
113,112,4
113,113,4
113,114,4
114,113,4
114,114,4
114,115,4
115,114,4
115,115,4
115,116,4
116,90,4
116,115,4
116,116,4
117,90,4
117,117,4
117,118,4
118,85,4
118,117,4
118,118,4
118,119,4
118,120,4
119,118,4
119,119,4
119,121,4
120,118,4
120,120,4
120,250,4
120,251,4
120,278,4
121,119,4
121,121,4
121,122,4
122,121,4
122,122,4
122,123,4
123,122,4
123,123,4
123,124,4
124,123,4
124,124,4
124,125,4
125,124,4
125,125,4
125,126,4
125,159,4
125,316,4
126,125,4
126,126,4
126,127,4
126,128,4
126,129,4
127,126,4
127,127,4
127,130,4
128,126,4
128,128,4
128,157,4
128,158,4
128,285,4
129,126,4
129,129,4
129,285,4
129,317,4
129,318,4
130,127,4
130,130,4
130,131,4
131,130,4
131,131,4
131,132,4
132,131,4
132,132,4
132,133,4
133,132,4
133,133,4
133,134,4
134,133,4
134,134,4
134,135,4
135,134,4
135,135,4
135,136,4
136,135,4
136,136,4
136,137,4
137,136,4
137,137,4
137,138,4
138,137,4
138,138,4
138,139,4
139,138,4
139,139,4
139,140,4
140,139,4
140,140,4
140,141,4
141,140,4
141,141,4
141,142,4
142,141,4
142,142,4
142,143,4
143,142,4
143,143,4
143,144,4
144,143,4
144,144,4
145,37,4
145,145,4
145,146,4
145,147,4
146,145,4
146,146,4
146,148,4
147,145,4
147,147,4
147,205,4
147,206,4
148,146,4
148,148,4
148,149,4
149,148,4
149,149,4
149,150,4
150,149,4
150,150,4
150,151,4
151,150,4
151,151,4
151,152,4
152,151,4
152,152,4
152,153,4
153,152,4
153,153,4
153,154,4
154,153,4
154,154,4
154,155,4
155,154,4
155,155,4
155,156,4
156,155,4
156,156,4
156,157,4
157,128,4
157,156,4
157,157,4
158,128,4
158,158,4
158,159,4
159,125,4
159,158,4
159,159,4
159,160,4
159,161,4
160,159,4
160,160,4
160,162,4
161,159,4
161,161,4
161,285,4
161,286,4
161,316,4
162,160,4
162,162,4
162,163,4
163,162,4
163,163,4
163,164,4
164,163,4
164,164,4
165,165,4
165,166,4
166,165,4
166,166,4
166,167,4
167,166,4
167,167,4
167,168,4
168,167,4
168,168,4
168,169,4
169,168,4
169,169,4
169,170,4
170,169,4
170,170,4
170,171,4
171,170,4
171,171,4
171,172,4
172,171,4
172,172,4
172,173,4
173,172,4
173,173,4
173,174,4
174,173,4
174,174,4
174,175,4
175,174,4
175,175,4
175,176,4
176,175,4
176,176,4
176,177,4
177,176,4
177,177,4
177,178,4
178,177,4
178,178,4
178,179,4
179,178,4
179,179,4
179,180,4
180,179,4
180,180,4
180,181,4
181,180,4
181,181,4
181,182,4
182,181,4
182,182,4
182,183,4
183,182,4
183,183,4
183,184,4
184,183,4
184,184,4
184,185,4
185,184,4
185,185,4
185,186,4
186,185,4
186,186,4
186,187,4
187,186,4
187,187,4
187,188,4
188,187,4
188,188,4
188,189,4
189,188,4
189,189,4
189,190,4
190,189,4
190,190,4
190,191,4
191,190,4
191,191,4
191,192,4
192,191,4
192,192,4
192,193,4
193,192,4
193,193,4
193,194,4
194,193,4
194,194,4
194,195,4
195,194,4
195,195,4
195,196,4
196,195,4
196,196,4
196,197,4
197,29,4
197,77,4
197,196,4
197,197,4
198,77,4
198,198,4
198,199,4
199,198,4
199,199,4
199,200,4
200,199,4
200,200,4
200,201,4
201,200,4
201,201,4
201,202,4
202,201,4
202,202,4
202,203,4
203,202,4
203,203,4
203,204,4
204,203,4
204,204,4
204,205,4
205,40,4
205,147,4
205,204,4
205,205,4
206,147,4
206,206,4
206,207,4
207,206,4
207,207,4
207,208,4
208,207,4
208,208,4
208,209,4
209,208,4
209,209,4
209,210,4
210,209,4
210,210,4
210,211,4
211,210,4
211,211,4
211,212,4
212,211,4
212,212,4
212,213,4
213,212,4
213,213,4
213,214,4
214,213,4
214,214,4
214,215,4
215,214,4
215,215,4
215,216,4
216,215,4
216,216,4
216,217,4
217,216,4
217,217,4
217,218,4
218,217,4
218,218,4
218,219,4
219,218,4
219,219,4
219,220,4
220,219,4
220,220,4
220,221,4
221,220,4
221,221,4
221,222,4
222,221,4
222,222,4
222,223,4
223,222,4
223,223,4
223,224,4
224,223,4
224,224,4
224,225,4
225,224,4
225,225,4
225,226,4
226,225,4
226,226,4
226,227,4
227,226,4
227,227,4
227,228,4
228,227,4
228,228,4
228,229,4
229,228,4
229,229,4
229,230,4
230,229,4
230,230,4
230,231,4
231,230,4
231,231,4
231,232,4
232,231,4
232,232,4
232,233,4
233,232,4
233,233,4
233,234,4
234,233,4
234,234,4
234,235,4
235,234,4
235,235,4
235,236,4
236,235,4
236,236,4
236,237,4
237,236,4
237,237,4
237,238,4
238,237,4
238,238,4
238,239,4
239,238,4
239,239,4
240,29,4
240,240,4
240,241,4
241,240,4
241,241,4
241,242,4
242,241,4
242,242,4
242,243,4
243,242,4
243,243,4
243,244,4
244,243,4
244,244,4
244,245,4
245,244,4
245,245,4
245,246,4
246,245,4
246,246,4
246,247,4
247,246,4
247,247,4
247,248,4
248,90,4
248,91,4
248,247,4
248,248,4
248,249,4
249,248,4
249,249,4
249,250,4
250,120,4
250,249,4
250,250,4
251,120,4
251,251,4
251,252,4
252,251,4
252,252,4
252,253,4
253,252,4
253,253,4
253,254,4
254,253,4
254,254,4
255,255,4
255,256,4
256,255,4
256,256,4
256,257,4
257,256,4
257,257,4
257,258,4
258,257,4
258,258,4
258,259,4
259,258,4
259,259,4
259,260,4
260,259,4
260,260,4
260,261,4
261,260,4
261,261,4
261,262,4
262,261,4
262,262,4
262,263,4
263,262,4
263,263,4
263,264,4
264,263,4
264,264,4
264,265,4
265,264,4
265,265,4
265,266,4
266,265,4
266,266,4
266,267,4
267,266,4
267,267,4
267,268,4
268,267,4
268,268,4
268,269,4
269,268,4
269,269,4
269,270,4
270,269,4
270,270,4
270,271,4
271,270,4
271,271,4
271,272,4
272,271,4
272,272,4
272,273,4
273,272,4
273,273,4
273,274,4
274,273,4
274,274,4
274,275,4
275,274,4
275,275,4
275,276,4
276,275,4
276,276,4
276,277,4
277,276,4
277,277,4
277,278,4
278,85,4
278,120,4
278,277,4
278,278,4
278,279,4
279,91,4
279,278,4
279,279,4
280,91,4
280,280,4
280,281,4
281,280,4
281,281,4
281,282,4
282,281,4
282,282,4
282,283,4
283,282,4
283,283,4
283,284,4
284,283,4
284,284,4
284,285,4
285,128,4
285,129,4
285,161,4
285,284,4
285,285,4
286,161,4
286,286,4
286,287,4
287,286,4
287,287,4
287,288,4
288,287,4
288,288,4
288,289,4
289,288,4
289,289,4
289,290,4
290,289,4
290,290,4
290,291,4
291,290,4
291,291,4
291,292,4
292,291,4
292,292,4
292,293,4
293,292,4
293,293,4
293,294,4
294,293,4
294,294,4
294,295,4
295,294,4
295,295,4
295,296,4
296,295,4
296,296,4
296,297,4
297,296,4
297,297,4
297,298,4
298,297,4
298,298,4
298,299,4
299,298,4
299,299,4
299,300,4
300,299,4
300,300,4
300,301,4
301,300,4
301,301,4
301,302,4
302,301,4
302,302,4
302,303,4
303,302,4
303,303,4
304,40,4
304,304,4
304,305,4
305,304,4
305,305,4
305,306,4
306,305,4
306,306,4
306,307,4
307,306,4
307,307,4
307,308,4
308,307,4
308,308,4
308,309,4
309,308,4
309,309,4
309,310,4
310,309,4
310,310,4
310,311,4
311,310,4
311,311,4
311,312,4
312,311,4
312,312,4
312,313,4
313,312,4
313,313,4
313,314,4
314,313,4
314,314,4
314,315,4
315,314,4
315,315,4
315,316,4
316,125,4
316,161,4
316,315,4
316,316,4
316,317,4
317,129,4
317,316,4
317,317,4
318,129,4
318,318,4
318,319,4
319,318,4
319,319,4
319,320,4
320,319,4
320,320,4
320,321,4
321,320,4
321,321,4
321,322,4
322,321,4
322,322,4
